"osm_id","feature","key","lat","lng","intersection","area"
"1092085206","amenity","bar",-87.6745795,41.9012796,541,"882664cac3fffff"
"1092085208","amenity","bar",-87.6761271,41.9012696,541,"882664cac3fffff"
"1130094835","amenity","bar",-87.697483,41.922644,376,"882664ca11fffff"
"1239986384","amenity","bar",-87.649398,41.9501152,292,"882664c16bfffff"
"1239986677","amenity","bar",-87.6494034,41.9499795,292,"882664c16bfffff"
"1262346097","amenity","bar",-87.6988013,41.9236445,376,"882664ca11fffff"
"1370035488","amenity","bar",-87.6600193,41.9692506,665,"882664d895fffff"
"1432788850","amenity","bar",-87.6839782,41.9610993,703,"882664d8b1fffff"
"1490288107","amenity","bar",-87.7844587,41.8210314,NA,""
"1490288123","amenity","bar",-87.7844682,41.8213474,NA,""
"1557244581","amenity","bar",-87.6826489,41.959466,651,"882664d8b7fffff"
"1585389610","amenity","bar",-87.6876454,41.9165513,232,"882664ca13fffff"
"1585425015","amenity","bar",-87.6874251,41.9250199,377,"882664ca1bfffff"
"1648217552","amenity","bar",-87.5999438,41.8915557,561,"882664c1c7fffff"
"1648217562","amenity","bar",-87.5999495,41.8917232,561,"882664c1c7fffff"
"1668871728","amenity","bar",-87.6279351,41.892586,654,"882664c1e1fffff"
"1685093555","amenity","bar",-87.6804824,41.9198795,269,"882664c127fffff"
"1699190038","amenity","bar",-87.6282795,41.8354336,30,"882664cf57fffff"
"1699207181","amenity","bar",-87.6289521,41.8731754,412,"882664c1abfffff"
"1699222278","amenity","bar",-87.6338839,41.8909535,731,"882664c1e7fffff"
"1700855290","amenity","bar",-87.6851722,41.9174886,231,"882664cacdfffff"
"1700855295","amenity","bar",-87.706844,41.927807,375,"882664ca15fffff"
"1700855329","amenity","bar",-87.7044772,41.9274808,571,"882664ca1dfffff"
"1700855335","amenity","bar",-87.7053238,41.9355781,486,"882664ca0bfffff"
"1700855339","amenity","bar",-87.713164,41.9244801,375,"882664ca15fffff"
"1700860713","amenity","bar",-87.6534433,41.958567,78,"882664c169fffff"
"1707846189","amenity","bar",-87.6582381,41.9486953,771,"882664c161fffff"
"1707846196","amenity","bar",-87.6582605,41.9487477,771,"882664c161fffff"
"1707846198","amenity","bar",-87.6581776,41.948767,771,"882664c161fffff"
"1707846203","amenity","bar",-87.6579582,41.9488222,771,"882664c161fffff"
"1707846206","amenity","bar",-87.6582268,41.9488702,771,"882664c161fffff"
"1707846207","amenity","bar",-87.6579926,41.9488731,771,"882664c161fffff"
"1715850315","amenity","bar",-87.6319531,41.8899173,731,"882664c1e7fffff"
"1715850331","amenity","bar",-87.6319464,41.8896338,731,"882664c1e7fffff"
"1715850343","amenity","bar",-87.6316702,41.8899217,731,"882664c1e7fffff"
